Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9722510178,Stunning On running set,,50.0,102,96,6,6.2,1,0,No,,https://www.vinted.co.uk/items/9722510178-stunning-on-running-set
2,10076631565,ASICS black seamless ss running shirt top t breathable,,25.0,73,66,7,10.6,2,0,No,,https://www.vinted.co.uk/items/10076631565-asics-black-seamless-ss-running-shirt-top-t-breathable
3,10011585536,Salomon Running Hiking Top,,20.0,68,66,2,3.0,3,0,No,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
4,10091701276,Nike Dri-FIT Running T-Shirt Blue Men’s Performance Training Top - Size S,,14.0,61,,,,,,Yes,,https://www.vinted.co.uk/items/10091701276-nike-dri-fit-running-t-shirt-blue-mens-performance-training-top-size-s
5,10090924395,Rusty Surfboards Boys Size 16 Grey Long Sleeve T-Shirt - Retro Style,,6.48,49,,,,,,Yes,,https://www.vinted.co.uk/items/10090924395-rusty-surfboards-boys-size-16-grey-long-sleeve-t-shirt-retro-style
6,9448059220,Gymshark Running T-shirt,,10.0,44,,,,,,Yes,,https://www.vinted.co.uk/items/9448059220-gymshark-running-t-shirt
7,10060559285,Money joggers and top,,13.5,33,24,9,37.5,16,9,No,,https://www.vinted.co.uk/items/10060559285-money-joggers-and-top
8,10088075780,Adidas Running t shirt,,7.5,32,23,9,39.1,18,10,No,,https://www.vinted.co.uk/items/10088075780-adidas-running-t-shirt
9,10069329219,On Running Men’s core T-shirt athletic fit running top,,25.0,32,29,3,10.3,9,0,No,,https://www.vinted.co.uk/items/10069329219-on-running-mens-core-t-shirt-athletic-fit-running-top
10,10057183548,Black Graphic Print Basketball Shorts men’s Gym Training Casual Streetwear Summer Shorts,,18.99,30,17,13,76.5,39,29,No,,https://www.vinted.co.uk/items/10057183548-black-graphic-print-basketball-shorts-mens-gym-training-casual-streetwear-summer-shorts
11,10005667830,White and Black Nike Miller shorts set,,45.0,30,28,2,7.1,10,-1,No,,https://www.vinted.co.uk/items/10005667830-white-and-black-nike-miller-shorts-set
12,10077091471,Men’s Nike Dri-Fit Running Top XXL - very good,,10.0,29,27,2,7.4,12,0,No,,https://www.vinted.co.uk/items/10077091471-mens-nike-dri-fit-running-top-xxl-very-good
13,9807986323,SOAR running t shirt,,55.0,29,28,1,3.6,11,-2,No,,https://www.vinted.co.uk/items/9807986323-soar-running-t-shirt
