Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9945553224,Adidas Originals Running Club T Shirt,,20.0,79,79,0,0.0,2,1,No,,https://www.vinted.co.uk/items/9945553224-adidas-originals-running-club-t-shirt
2,10011585536,Salomon Running Hiking Top,,20.0,74,,,,,,Yes,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
3,9976643109,On running T-shirt - Size L - Grey/Black,,22.0,65,58,7,12.1,3,0,No,,https://www.vinted.co.uk/items/9976643109-on-running-t-shirt-size-l-greyblack
4,9907023249,Comme Des Garçons white tshirt,,22.0,56,52,4,7.7,4,0,No,,https://www.vinted.co.uk/items/9907023249-comme-des-garcons-white-tshirt
5,9940908657,: New Balance Navy Logo T-Shirt – Size S,,8.0,39,36,3,8.3,5,0,No,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
6,10128345438,On running core T-shirt size small men’s athletic fit,,25.0,37,,,,,,Yes,,https://www.vinted.co.uk/items/10128345438-on-running-core-t-shirt-size-small-mens-athletic-fit
7,10050923481,Brand new underarmour set,,32.0,29,22,7,31.8,25,18,No,,https://www.vinted.co.uk/items/10050923481-brand-new-underarmour-set
8,10103473886,DRI- Fit Nike singlet,,3.22,28,28,0,0.0,11,3,No,,https://www.vinted.co.uk/items/10103473886-dri-fit-nike-singlet
9,10132068035,"Green Nike DriFit Running Division Long Sleeve T-shirt, Size Large",,18.0,28,,,,,,Yes,,https://www.vinted.co.uk/items/10132068035-green-nike-drifit-running-division-long-sleeve-t-shirt-size-large
10,10077091471,Men’s Nike Dri-Fit Running Top XXL - very good,,8.5,28,28,0,0.0,14,4,No,,https://www.vinted.co.uk/items/10077091471-mens-nike-dri-fit-running-top-xxl-very-good
11,9873622432,TC Threads Malfi black T-Shirt,,10.0,26,25,1,4.0,18,7,No,,https://www.vinted.co.uk/items/9873622432-tc-threads-malfi-black-t-shirt
12,10121029696,New Balance Camo T-shirt Gym Running Black XL,,12.0,26,17,9,52.9,41,29,No,,https://www.vinted.co.uk/items/10121029696-new-balance-camo-t-shirt-gym-running-black-xl
13,9796366311,Running Club Graphic T-Shirt,,7.0,25,25,0,0.0,20,7,No,,https://www.vinted.co.uk/items/9796366311-running-club-graphic-t-shirt
14,10059280503,Nike Dri-Fit Training T-Shirt - Navy Blue,,7.0,24,21,3,14.3,27,13,No,,https://www.vinted.co.uk/items/10059280503-nike-dri-fit-training-t-shirt-navy-blue
15,10088490209,Uniqlo Dry Ex T Shirt,,5.0,24,24,0,0.0,21,6,No,,https://www.vinted.co.uk/items/10088490209-uniqlo-dry-ex-t-shirt
16,10122938066,Men’s shorts,,3.5,22,12,10,83.3,69,53,No,,https://www.vinted.co.uk/items/10122938066-mens-shorts
17,8181554278,WHO? Clothing Stay Weird Tee,,4.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/8181554278-who-clothing-stay-weird-tee
18,10131804939,Montirex Trail 2.0 T-Shirt – Teal Multi (Size xs,,12.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10131804939-montirex-trail-20-t-shirt-teal-multi-size-xs
19,9757490275,Nike Sportswear Summer Futura Graphic T Shirt Black Size L Retro 2000s,,30.0,21,19,2,10.5,34,15,No,,https://www.vinted.co.uk/items/9757490275-nike-sportswear-summer-futura-graphic-t-shirt-black-size-l-retro-2000s
20,10121668563,Mens blue puma dry cell activewear/ running/ training t shirt top. XL. New with tags.,,7.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/10121668563-mens-blue-puma-dry-cell-activewear-running-training-t-shirt-top-xl-new-with-tags
21,9733496803,Nike Dri-FIT T-Shirt – Khaki | Small,,14.49,19,19,0,0.0,30,9,No,,https://www.vinted.co.uk/items/9733496803-nike-dri-fit-t-shirt-khaki-small
22,10128411821,Adidas Men's Athletic Training T-Shirt Black/Grey (Medium),,14.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10128411821-adidas-mens-athletic-training-t-shirt-blackgrey-medium
23,10133274341,Monterrian tracksuit and t shit junior,,35.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10133274341-monterrian-tracksuit-and-t-shit-junior
24,10131590486,Collusion Black Joggers,,12.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10131590486-collusion-black-joggers
25,10099924242,Nike Long Sleeve Y2K Dri-Fit T-Shirt Training Running Gym Grey Men’s (L),,9.99,18,16,2,12.5,48,23,No,,https://www.vinted.co.uk/items/10099924242-nike-long-sleeve-y2k-dri-fit-t-shirt-training-running-gym-grey-mens-l
26,10113611127,Nike Running Dri-FIT T-Shirt – Size М,,1.0,17,11,6,54.5,77,51,No,,https://www.vinted.co.uk/items/10113611127-nike-running-dri-fit-t-shirt-size-m
27,10120551599,Nike running division T-shirt,,15.0,17,14,3,21.4,56,29,No,,https://www.vinted.co.uk/items/10120551599-nike-running-division-t-shirt
28,10124333042,Nike running series,,4.29,16,14,2,14.3,55,27,No,,https://www.vinted.co.uk/items/10124333042-nike-running-series
29,10138033471,Nike Trail Men’s Running tee,,5.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10138033471-nike-trail-mens-running-tee
30,10138202615,ASICS trail running t-shirt,,9.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10138202615-asics-trail-running-t-shirt
31,10002633125,Ice-cream white running puppy tshirt,,32.0,16,15,1,6.7,51,20,No,,https://www.vinted.co.uk/items/10002633125-ice-cream-white-running-puppy-tshirt
32,10057749728,Adisas mens XL navy running T shirt,,3.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10057749728-adisas-mens-xl-navy-running-t-shirt
33,10121137829,Asics Men’s T‑Shirt L • Very Good Condition • Sports Training Top,,5.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10121137829-asics-mens-t-shirt-l-very-good-condition-sports-training-top
