Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9722510178,Stunning On running set,,50.0,104,102,2,2.0,1,0,No,,https://www.vinted.co.uk/items/9722510178-stunning-on-running-set
2,9945553224,Adidas Originals Running Club T Shirt,,20.0,79,,,,,,Yes,,https://www.vinted.co.uk/items/9945553224-adidas-originals-running-club-t-shirt
3,10011585536,Salomon Running Hiking Top,,20.0,70,68,2,2.9,3,0,No,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
4,9219606781,Brand new Nike Running 3-piece set in mint/teal colourway.,,80.0,62,,,,,,Yes,,https://www.vinted.co.uk/items/9219606781-brand-new-nike-running-3-piece-set-in-mintteal-colourway
5,9907023249,Comme Des Garçons white tshirt,,22.0,41,,,,,,Yes,,https://www.vinted.co.uk/items/9907023249-comme-des-garcons-white-tshirt
6,10095875470,Snoopy x Levi’s retro yellow t shirt,,18.0,38,,,,,,Yes,,https://www.vinted.co.uk/items/10095875470-snoopy-x-levis-retro-yellow-t-shirt
7,9940908657,: New Balance Navy Logo T-Shirt – Size S,,8.0,37,,,,,,Yes,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
8,10057183548,Black Graphic Print Basketball Shorts men’s Gym Training Casual Streetwear Summer Shorts,,18.99,36,30,6,20.0,10,2,No,,https://www.vinted.co.uk/items/10057183548-black-graphic-print-basketball-shorts-mens-gym-training-casual-streetwear-summer-shorts
9,10088075780,Adidas Running t shirt,,7.5,34,32,2,6.2,8,-1,No,,https://www.vinted.co.uk/items/10088075780-adidas-running-t-shirt
10,10084460315,Nike T-Shirt,,6.0,32,28,4,14.3,15,5,No,,https://www.vinted.co.uk/items/10084460315-nike-t-shirt
11,10005667830,White and Black Nike Miller shorts set,,45.0,31,30,1,3.3,11,0,No,,https://www.vinted.co.uk/items/10005667830-white-and-black-nike-miller-shorts-set
12,10077091471,Men’s Nike Dri-Fit Running Top XXL - very good,,9.0,28,29,-1,-3.4,12,0,No,,https://www.vinted.co.uk/items/10077091471-mens-nike-dri-fit-running-top-xxl-very-good
13,9807986323,SOAR running t shirt,,49.95,28,29,-1,-3.4,13,0,No,,https://www.vinted.co.uk/items/9807986323-soar-running-t-shirt
14,10103473886,DRI- Fit Nike singlet,,3.23,26,,,,,,Yes,,https://www.vinted.co.uk/items/10103473886-dri-fit-nike-singlet
15,9796366311,Running Club Graphic T-Shirt,,7.0,25,,,,,,Yes,,https://www.vinted.co.uk/items/9796366311-running-club-graphic-t-shirt
16,10088531479,Uniqlo Dry Ex T Shirt,,5.0,24,20,4,20.0,25,9,No,,https://www.vinted.co.uk/items/10088531479-uniqlo-dry-ex-t-shirt
17,10088415009,Nike Dri-Fit Bundle - Green T-Shirt 1/4 Zip Top + Olive Training Pants - Size M,,30.0,24,19,5,26.3,29,12,No,,https://www.vinted.co.uk/items/10088415009-nike-dri-fit-bundle-green-t-shirt-14-zip-top-olive-training-pants-size-m
18,10039443722,Men’s Medium Hand-Dyed Hemp Cotton T-Shirt – Black & Earthy Brown,,4.84,22,22,0,0.0,19,1,No,,https://www.vinted.co.uk/items/10039443722-mens-medium-hand-dyed-hemp-cotton-t-shirt-black-earthy-brown
19,9873622432,TC Threads Malfi black T-Shirt,,10.0,22,20,2,10.0,24,5,No,,https://www.vinted.co.uk/items/9873622432-tc-threads-malfi-black-t-shirt
20,9865830424,Nike white XXL Dry Fit vest running top,,12.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/9865830424-nike-white-xxl-dry-fit-vest-running-top
21,9757753917,North Face sprint T Shirt,,6.5,22,,,,,,Yes,,https://www.vinted.co.uk/items/9757753917-north-face-sprint-t-shirt
22,10113723912,Montirex Trail 2.0 T-Shirt - Size M - Agency/Oceanic Mariana - BNWT,,15.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/10113723912-montirex-trail-20-t-shirt-size-m-agencyoceanic-mariana-bnwt
23,10104284045,Nike Running T-Shirt,,5.0,21,10,11,110.0,80,57,No,,https://www.vinted.co.uk/items/10104284045-nike-running-t-shirt
24,10049018641,Nike Running T-Shirt,,5.0,21,20,1,5.0,26,2,No,,https://www.vinted.co.uk/items/10049018641-nike-running-t-shirt
25,9944511262,Handmade Tie Dye T-Shirt: Unique Copper and Turquoise Design - Unisex Tee (M),,18.0,20,19,1,5.3,30,5,No,,https://www.vinted.co.uk/items/9944511262-handmade-tie-dye-t-shirt-unique-copper-and-turquoise-design-unisex-tee-m
26,9948375981,Travis Scott Astroworld Europe 2019 Stop Look Listen Long Sleeve Tee Grey Size S,,35.0,20,19,1,5.3,31,5,No,,https://www.vinted.co.uk/items/9948375981-travis-scott-astroworld-europe-2019-stop-look-listen-long-sleeve-tee-grey-size-s
27,10070623999,Men’s Adidas T-shirt originals running club 2XL,,13.0,19,19,0,0.0,32,5,No,,https://www.vinted.co.uk/items/10070623999-mens-adidas-t-shirt-originals-running-club-2xl
28,10021844552,Navy Castore T-Shirt,,5.0,19,19,0,0.0,28,0,No,,https://www.vinted.co.uk/items/10021844552-navy-castore-t-shirt
29,9795213548,"Nike blue running set ""miler"" size medium mens",,25.0,19,13,6,46.2,53,24,No,,https://www.vinted.co.uk/items/9795213548-nike-blue-running-set-miler-size-medium-mens
30,10074929126,Nike Pro White Sports T-Shirt – Boys – Size S,,5.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/10074929126-nike-pro-white-sports-t-shirt-boys-size-s
31,10109814498,Hoboclub Men’s Large Black Graphic T-Shirt,,3.25,17,,,,,,Yes,,https://www.vinted.co.uk/items/10109814498-hoboclub-mens-large-black-graphic-t-shirt
32,10110789931,On core tank top / vest / black,,30.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/10110789931-on-core-tank-top-vest-black
33,10086603288,Men’s under armour T shirt,,15.0,17,16,1,6.2,39,6,No,,https://www.vinted.co.uk/items/10086603288-mens-under-armour-t-shirt
34,10059280503,Nike Dri-Fit Training T-Shirt - Navy Blue,,7.0,16,10,6,60.0,79,45,No,,https://www.vinted.co.uk/items/10059280503-nike-dri-fit-training-t-shirt-navy-blue
35,10112713086,Mens New Sunday Running Club Print Tshirt,,16.99,16,,,,,,Yes,,https://www.vinted.co.uk/items/10112713086-mens-new-sunday-running-club-print-tshirt
36,9552795157,Men’s Nike running division t shirt,,15.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/9552795157-mens-nike-running-division-t-shirt
37,10075308633,Nike Miler 3 Piece – Tracksuit Set,,65.0,16,12,4,33.3,60,23,No,,https://www.vinted.co.uk/items/10075308633-nike-miler-3-piece-tracksuit-set
38,8457213624,Unisex Marathon Running T-shirt,,2.5,16,16,0,0.0,41,3,No,,https://www.vinted.co.uk/items/8457213624-unisex-marathon-running-t-shirt
39,10108191925,Nike running vest dri fit,,15.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10108191925-nike-running-vest-dri-fit
40,10051633059,Men’s Loiter x Gundam Anime Vintage Style T Shirt,,16.14,15,15,0,0.0,42,2,No,,https://www.vinted.co.uk/items/10051633059-mens-loiter-x-gundam-anime-vintage-style-t-shirt
41,9930253224,Nike Dri Fit Run Miler Shirt Sleeve T-shirt Orange Size Medium,,11.95,15,11,4,36.4,66,25,No,,https://www.vinted.co.uk/items/9930253224-nike-dri-fit-run-miler-shirt-sleeve-t-shirt-orange-size-medium
42,10111889543,On running T-shirt,,15.0,15,,,,,,Yes,,https://www.vinted.co.uk/items/10111889543-on-running-t-shirt
43,10046482917,Asics running t-shirt white large,,3.0,15,,,,,,Yes,,https://www.vinted.co.uk/items/10046482917-asics-running-t-shirt-white-large
44,9937735764,Title: Nike Dri-FIT Red Short Sleeve Running / Gym Top – Men’s Large,,10.0,15,15,0,0.0,44,0,No,,https://www.vinted.co.uk/items/9937735764-title-nike-dri-fit-red-short-sleeve-running-gym-top-mens-large
45,10066384705,Nike Dry-Fit Slim Fit T-Shirt & Shorts Set – Black/Pink – Size L,,39.0,15,13,2,15.4,55,10,No,,https://www.vinted.co.uk/items/10066384705-nike-dry-fit-slim-fit-t-shirt-shorts-set-blackpink-size-l
46,10069541070,Men's nike Dri-fit running t-shirt size large,,11.0,14,14,0,0.0,46,0,No,,https://www.vinted.co.uk/items/10069541070-mens-nike-dri-fit-running-t-shirt-size-large
47,10057749728,Adisas mens XL navy running T shirt,,3.0,14,14,0,0.0,48,1,No,,https://www.vinted.co.uk/items/10057749728-adisas-mens-xl-navy-running-t-shirt
48,10025446714,Nike t shirt,,12.0,14,13,1,7.7,56,8,No,,https://www.vinted.co.uk/items/10025446714-nike-t-shirt
49,10084219923,Nike running T-shirt,,4.0,14,14,0,0.0,47,-2,No,,https://www.vinted.co.uk/items/10084219923-nike-running-t-shirt
50,10106475454,Grunge Avant Garde Long Sleeve Top,,21.5,14,,,,,,Yes,,https://www.vinted.co.uk/items/10106475454-grunge-avant-garde-long-sleeve-top
51,10013361844,Running t-shirt,,8.0,14,14,0,0.0,50,-1,No,,https://www.vinted.co.uk/items/10013361844-running-t-shirt
52,9981552569,Atlas Teal Active Sport Technical Tee#breathableshirt,,1.5,13,13,0,0.0,51,-1,No,,https://www.vinted.co.uk/items/9981552569-atlas-teal-active-sport-technical-teebreathableshirt
