Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,10011585536,Salomon Running Hiking Top,,20.0,65,,,,,,Yes,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
2,10033923845,UVU - Chicago Marathon 2025 - Large - Running T-Shirt,,24.5,49,,,,,,Yes,,https://www.vinted.co.uk/items/10033923845-uvu-chicago-marathon-2025-large-running-t-shirt
3,10049467951,Satisfy running tee,,65.0,39,,,,,,Yes,,https://www.vinted.co.uk/items/10049467951-satisfy-running-tee
4,10026929887,GAP Constellation Graphic T-Shirt – Size M,,5.0,39,35,4,11.4,5,1,No,,https://www.vinted.co.uk/items/10026929887-gap-constellation-graphic-t-shirt-size-m
5,10012369731,Satisfy running Moth tech tee,,120.0,36,28,8,28.6,11,6,No,,https://www.vinted.co.uk/items/10012369731-satisfy-running-moth-tech-tee
6,10029873990,F&F Khaki Cargo Joggers | W32 L30,,4.99,31,29,2,6.9,9,3,No,,https://www.vinted.co.uk/items/10029873990-ff-khaki-cargo-joggers-w32-l30
7,5185338649,"Vintage single stitch T-shirt, Reebok shirt",,18.18,29,,,,,,Yes,,https://www.vinted.co.uk/items/5185338649-vintage-single-stitch-t-shirt-reebok-shirt
8,9907023249,Comme Des Garçons white tshirt,,22.0,29,28,1,3.6,10,2,No,,https://www.vinted.co.uk/items/9907023249-comme-des-garcons-white-tshirt
9,10036248189,Running On Caffeine T-shirt,,4.0,28,,,,,,Yes,,https://www.vinted.co.uk/items/10036248189-running-on-caffeine-t-shirt
10,10034416906,ASICS running t shirt men’s,,26.0,27,19,8,42.1,30,20,No,,https://www.vinted.co.uk/items/10034416906-asics-running-t-shirt-mens
11,10046576360,blue Abercrombie & Fitch graphic t-shirt.,,6.0,27,,,,,,Yes,,https://www.vinted.co.uk/items/10046576360-blue-abercrombie-fitch-graphic-t-shirt
12,9984460061,Nike Trail T-Shirt – Very Good Condition,,8.0,24,24,0,0.0,15,3,No,,https://www.vinted.co.uk/items/9984460061-nike-trail-t-shirt-very-good-condition
13,10039443722,Men’s Medium Hand-Dyed Hemp Cotton T-Shirt – Black & Earthy Brown,,4.85,23,,,,,,Yes,,https://www.vinted.co.uk/items/10039443722-mens-medium-hand-dyed-hemp-cotton-t-shirt-black-earthy-brown
14,10032762653,Nike Dri Fit Adv Running T Shirt,,10.0,23,,,,,,Yes,,https://www.vinted.co.uk/items/10032762653-nike-dri-fit-adv-running-t-shirt
15,9978283914,Nike Running T Shirt Medium,,5.0,23,23,0,0.0,18,3,No,,https://www.vinted.co.uk/items/9978283914-nike-running-t-shirt-medium
16,10046663001,Nike dri fit set. 3 piece. Men’s L.,,70.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10046663001-nike-dri-fit-set-3-piece-mens-l
17,10005667830,White and Black Nike Miller shorts set,,45.0,22,21,1,4.8,23,6,No,,https://www.vinted.co.uk/items/10005667830-white-and-black-nike-miller-shorts-set
18,9757753917,North Face sprint T Shirt,,6.5,22,22,0,0.0,21,3,No,,https://www.vinted.co.uk/items/9757753917-north-face-sprint-t-shirt
19,10035405178,Black Nike running vest,,5.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10035405178-black-nike-running-vest
20,10031618633,Nike Running Vest,,10.77,21,17,4,23.5,40,20,No,,https://www.vinted.co.uk/items/10031618633-nike-running-vest
21,9891710511,Nike - Running set - Mint green - M,,30.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/9891710511-nike-running-set-mint-green-m
22,10004183483,Nike Dri-FIT Y2K Graphic T-Shirt | Retro 00s Nike | Pink & Teal | Abstract Print | Slim Fit,,17.0,21,18,3,16.7,34,12,No,,https://www.vinted.co.uk/items/10004183483-nike-dri-fit-y2k-graphic-t-shirt-retro-00s-nike-pink-teal-abstract-print-slim-fit
23,9972649156,On cloud training t shirt size small men’s,,16.5,21,,,,,,Yes,,https://www.vinted.co.uk/items/9972649156-on-cloud-training-t-shirt-size-small-mens
24,10025945141,Nike Running Division Khaki T-Shirt,,10.5,21,20,1,5.0,24,0,No,,https://www.vinted.co.uk/items/10025945141-nike-running-division-khaki-t-shirt
25,10012263427,Satisfy running tee,,95.0,21,19,2,10.5,32,7,No,,https://www.vinted.co.uk/items/10012263427-satisfy-running-tee
26,9940908657,: New Balance Navy Logo T-Shirt – Size S,,8.0,19,18,1,5.6,35,9,No,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
27,9980285209,on running graphic logo t shirt,,12.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9980285209-on-running-graphic-logo-t-shirt
28,10029336461,Front Runner Viper Dept Tee,,26.92,18,16,2,12.5,46,18,No,,https://www.vinted.co.uk/items/10029336461-front-runner-viper-dept-tee
29,10020056871,Adidas orange running gym t shirt top size medium new,,12.0,18,14,4,28.6,58,29,No,,https://www.vinted.co.uk/items/10020056871-adidas-orange-running-gym-t-shirt-top-size-medium-new
30,10013810741,Nike Trail run T-shirt - medium,,5.0,18,18,0,0.0,39,9,No,,https://www.vinted.co.uk/items/10013810741-nike-trail-run-t-shirt-medium
31,10031055297,Soar Running Marathon Vest 2.0,,90.0,18,17,1,5.9,44,13,No,,https://www.vinted.co.uk/items/10031055297-soar-running-marathon-vest-20
