Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
84,9965965706,Nike rise 365 coral run division men’s tshirt size small,,12.0,9,9,0,0.0,94,10,No,,https://www.vinted.co.uk/items/9965965706-nike-rise-365-coral-run-division-mens-tshirt-size-small
85,10031101741,Rats Get Fat Tee,,13.48,9,,,,,,Yes,,https://www.vinted.co.uk/items/10031101741-rats-get-fat-tee
86,10024960749,Nike Dri-Fit Turquoise and Blue Jogging Tracksuit Size L,,29.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/10024960749-nike-dri-fit-turquoise-and-blue-jogging-tracksuit-size-l
87,9965983223,Alpha Industries Men's T-Shirt & Joggers Matching Set Black Neon Yellow Large,,20.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/9965983223-alpha-industries-mens-t-shirt-joggers-matching-set-black-neon-yellow-large
88,9435212521,"Grey Boss T- shirt BNWT, unwanted gift",,17.5,9,,,,,,Yes,,https://www.vinted.co.uk/items/9435212521-grey-boss-t-shirt-bnwt-unwanted-gift
89,9922137879,Jack & Jones Superior Graphic T-Shirt – 2XL,,3.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/9922137879-jack-jones-superior-graphic-t-shirt-2xl
90,9624941968,Diesel Men’s Black T-Shirt,,4.0,9,9,0,0.0,96,6,No,,https://www.vinted.co.uk/items/9624941968-diesel-mens-black-t-shirt
91,10031685167,On Cloud Jay Core T Shirt L,,25.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/10031685167-on-cloud-jay-core-t-shirt-l
92,10001167801,3x quick dry t-shirts,,4.0,9,9,0,0.0,99,7,No,,https://www.vinted.co.uk/items/10001167801-3x-quick-dry-t-shirts
93,9922387633,Bundle of 4 Men’s Activewear T-Shirts - Size L - Running / Gym Tops,,6.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/9922387633-bundle-of-4-mens-activewear-t-shirts-size-l-running-gym-tops
94,9943504228,Sunday running club t-shirt with back graphic in white. Size L,,17.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/9943504228-sunday-running-club-t-shirt-with-back-graphic-in-white-size-l
95,10027952897,Salomon Agile long sleeve running t,,8.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/10027952897-salomon-agile-long-sleeve-running-t
96,9967136880,Long Sleeve Running T Shirt,,2.5,9,,,,,,Yes,,https://www.vinted.co.uk/items/9967136880-long-sleeve-running-t-shirt
97,9981646355,Salomon running t shirt,,7.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/9981646355-salomon-running-t-shirt
98,10023595724,Nike Dri Fit Size XL,,8.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/10023595724-nike-dri-fit-size-xl
99,9737860055,White Nike T-Shirt,,2.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/9737860055-white-nike-t-shirt
100,10018508178,Nike running vest,,6.0,9,,,,,,Yes,,https://www.vinted.co.uk/items/10018508178-nike-running-vest
