Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9962899525,"Men’s Nike Therma-FIT Adv Running T-Shirt, Small, Charcoal",,24.0,144,141,3,2.1,1,0,No,,https://www.vinted.co.uk/items/9962899525-mens-nike-therma-fit-adv-running-t-shirt-small-charcoal
2,9837248140,Run & Fly dinosaur patterned short sleeve cotton t-shirt,,10.0,81,,,,,,Yes,,https://www.vinted.co.uk/items/9837248140-run-fly-dinosaur-patterned-short-sleeve-cotton-t-shirt
3,9945553224,Adidas Originals Running Club T Shirt,,20.0,79,,,,,,Yes,,https://www.vinted.co.uk/items/9945553224-adidas-originals-running-club-t-shirt
4,9967590292,Adidas Woman Running T-shirt M,,12.99,69,69,0,0.0,2,-2,No,,https://www.vinted.co.uk/items/9967590292-adidas-woman-running-t-shirt-m
5,10011585536,Salomon Running Hiking Top,,20.0,44,29,15,51.7,6,1,No,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
6,9780007449,Large Size Navy Blue 'Sunday Running Club' T-Shirt with White Printed Text,,10.0,41,,,,,,Yes,,https://www.vinted.co.uk/items/9780007449-large-size-navy-blue-sunday-running-club-t-shirt-with-white-printed-text
7,9713697352,Green Day t-shirt,,5.0,41,,,,,,Yes,,https://www.vinted.co.uk/items/9713697352-green-day-t-shirt
8,9963734883,Montirex Performance T-Shirt | Grey Camo Detail | Size XS | Sport / Gym,,8.0,38,,,,,,Yes,,https://www.vinted.co.uk/items/9963734883-montirex-performance-t-shirt-grey-camo-detail-size-xs-sport-gym
9,9427034879,Nike miller shorts and t shirt,,34.0,36,,,,,,Yes,,https://www.vinted.co.uk/items/9427034879-nike-miller-shorts-and-t-shirt
10,9998182662,Men’s gym t shirt Adidas black and navy size M,,6.0,36,,,,,,Yes,,https://www.vinted.co.uk/items/9998182662-mens-gym-t-shirt-adidas-black-and-navy-size-m
11,9999269914,Black ice cream running dog shirt,,6.0,34,,,,,,Yes,,https://www.vinted.co.uk/items/9999269914-black-ice-cream-running-dog-shirt
12,9976643109,On running T-shirt - Size L - Grey/Black,,22.0,32,32,0,0.0,5,-7,No,,https://www.vinted.co.uk/items/9976643109-on-running-t-shirt-size-l-greyblack
13,9992925022,ASICS Road Fade T-Shirt Mens Medium Black Cream Floral Running Top,,40.0,30,,,,,,Yes,,https://www.vinted.co.uk/items/9992925022-asics-road-fade-t-shirt-mens-medium-black-cream-floral-running-top
14,9965275858,Monerain set,,25.0,27,,,,,,Yes,,https://www.vinted.co.uk/items/9965275858-monerain-set
15,9977690500,AllSaints t-shirt,,15.0,27,,,,,,Yes,,https://www.vinted.co.uk/items/9977690500-allsaints-t-shirt
16,9997237284,Dri Fit Nike shorts and shirt set,,31.5,26,,,,,,Yes,,https://www.vinted.co.uk/items/9997237284-dri-fit-nike-shorts-and-shirt-set
17,9975785743,Under Armour T-Shirt – Black – Men’s Medium,,17.99,23,17,6,35.3,19,2,No,,https://www.vinted.co.uk/items/9975785743-under-armour-t-shirt-black-mens-medium
18,9978283914,Nike Running T Shirt Medium,,5.0,23,22,1,4.5,9,-9,No,,https://www.vinted.co.uk/items/9978283914-nike-running-t-shirt-medium
19,9173569387,Nike Run T Shirt,,12.0,23,21,2,9.5,13,-6,No,,https://www.vinted.co.uk/items/9173569387-nike-run-t-shirt
20,9984460061,Nike Trail T-Shirt – Very Good Condition,,8.0,23,23,0,0.0,8,-12,No,,https://www.vinted.co.uk/items/9984460061-nike-trail-t-shirt-very-good-condition
21,5185338649,"Vintage single stitch T-shirt, Reebok shirt",,18.03,23,,,,,,Yes,,https://www.vinted.co.uk/items/5185338649-vintage-single-stitch-t-shirt-reebok-shirt
22,9757753917,North Face sprint T Shirt,,6.5,23,,,,,,Yes,,https://www.vinted.co.uk/items/9757753917-north-face-sprint-t-shirt
23,9963704579,adidas® Adizero small gym running t-shirt,,3.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/9963704579-adidasr-adizero-small-gym-running-t-shirt
24,9926156141,Mens nike running dri-fit t-shirt 🟥,,5.0,21,21,0,0.0,11,-13,No,,https://www.vinted.co.uk/items/9926156141-mens-nike-running-dri-fit-t-shirt
25,9978567880,Nike Running Dri-FIT T-Shirt Men's Grey Pinstripe Geometric Print Sports Top,,18.0,21,19,2,10.5,15,-10,No,,https://www.vinted.co.uk/items/9978567880-nike-running-dri-fit-t-shirt-mens-grey-pinstripe-geometric-print-sports-top
26,9945075593,Adidas running  gym t-shirt mens,,7.5,21,21,0,0.0,12,-14,No,,https://www.vinted.co.uk/items/9945075593-adidas-running-gym-t-shirt-mens
27,9703502400,"Nike Running Division T-shirt with Backprint, XL.",,10.0,20,18,2,11.1,17,-10,No,,https://www.vinted.co.uk/items/9703502400-nike-running-division-t-shirt-with-backprint-xl
28,10013211349,Adidas Originals Men’s Navy Blue 3 Stripe T-Shirt Trefoil Retro Size M,,5.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/10013211349-adidas-originals-mens-navy-blue-3-stripe-t-shirt-trefoil-retro-size-m
29,9980285209,on running graphic logo t shirt,,12.0,19,19,0,0.0,16,-13,No,,https://www.vinted.co.uk/items/9980285209-on-running-graphic-logo-t-shirt
30,9896984349,Men’s large Nike Division running t shirt,,6.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9896984349-mens-large-nike-division-running-t-shirt
31,9975430833,Nike long sleeve dri fit top,,11.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9975430833-nike-long-sleeve-dri-fit-top
32,9454683297,The North Face Performance Sports T-Shirt – Built for Adventure!,,8.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9454683297-the-north-face-performance-sports-t-shirt-built-for-adventure
33,9965935169,Men’s Large Asics Shorts & T-Shirt Set - BNWT,,50.0,18,16,2,12.5,21,-12,No,,https://www.vinted.co.uk/items/9965935169-mens-large-asics-shorts-t-shirt-set-bnwt
34,9985761975,Saysky Clean Motion T-Shirt - White - Size L - Excellent Condition - RRP £46,,29.99,18,,,,,,Yes,,https://www.vinted.co.uk/items/9985761975-saysky-clean-motion-t-shirt-white-size-l-excellent-condition-rrp-ps46
35,9988473645,Nike Rise 365 Run Division men’s Dri-FIT short sleeve running top in Light Bone.,,19.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9988473645-nike-rise-365-run-division-mens-dri-fit-short-sleeve-running-top-in-light-bone
36,9988948546,Nike Running Division running gym top t shirt,,10.0,18,18,0,0.0,18,-18,No,,https://www.vinted.co.uk/items/9988948546-nike-running-division-running-gym-top-t-shirt
37,9619072803,Graphic T-Shirt,,4.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9619072803-graphic-t-shirt
38,9550487829,Mens Boohoo man Beige Short Sleeve T-shirt Size Large,,3.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9550487829-mens-boohoo-man-beige-short-sleeve-t-shirt-size-large
39,9796366311,Running Club Graphic T-Shirt,,7.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9796366311-running-club-graphic-t-shirt
40,9899235807,Black Adidas Running t-shirt,,5.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9899235807-black-adidas-running-t-shirt
41,10000265026,Men’s on running train T-shirt,,25.0,17,13,4,30.8,25,-16,No,,https://www.vinted.co.uk/items/10000265026-mens-on-running-train-t-shirt
42,10001897829,"Nike Running Dri-FIT T-Shirt, Black, Men's L",,5.0,17,14,3,21.4,24,-18,No,,https://www.vinted.co.uk/items/10001897829-nike-running-dri-fit-t-shirt-black-mens-l
43,9972649156,On cloud training t shirt size small men’s,,18.0,17,17,0,0.0,20,-23,No,,https://www.vinted.co.uk/items/9972649156-on-cloud-training-t-shirt-size-small-mens
44,9954053179,Mens Nike dri fit grey t shirt large,,15.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/9954053179-mens-nike-dri-fit-grey-t-shirt-large
45,9854038611,Nike Dri-FIT Running T-Shirt,,10.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/9854038611-nike-dri-fit-running-t-shirt
46,9846927708,Puma drycell running sport T-shirt small,,3.0,16,16,0,0.0,22,-24,No,,https://www.vinted.co.uk/items/9846927708-puma-drycell-running-sport-t-shirt-small
47,10003012928,ASICS Men’s Large Red T Shirt RRP £39.99,,5.99,16,15,1,6.7,23,-24,No,,https://www.vinted.co.uk/items/10003012928-asics-mens-large-red-t-shirt-rrp-ps3999
48,9916128634,Off-White Spray Diag Black Sweatpants – XXL – New With Tags,,100.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/9916128634-off-white-spray-diag-black-sweatpants-xxl-new-with-tags
49,8457213624,Unisex Marathon Running T-shirt,,2.5,16,,,,,,Yes,,https://www.vinted.co.uk/items/8457213624-unisex-marathon-running-t-shirt
50,9940908657,: New Balance Navy Logo T-Shirt – Size S,,10.0,15,13,2,15.4,26,-24,No,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
51,9900862786,Nike Running Dri-FIT Men’s T-Shirt – Black – Size L,,10.0,14,11,3,27.3,29,-22,No,,https://www.vinted.co.uk/items/9900862786-nike-running-dri-fit-mens-t-shirt-black-size-l
52,10013361844,Running t-shirt,,5.0,14,10,4,40.0,30,-22,No,,https://www.vinted.co.uk/items/10013361844-running-t-shirt
