Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9962899525,"Men’s Nike Therma-FIT Adv Running T-Shirt, Small, Charcoal",,24.0,141,144,-3,-2.1,1,0,No,,https://www.vinted.co.uk/items/9962899525-mens-nike-therma-fit-adv-running-t-shirt-small-charcoal
2,9967590292,Adidas Woman Running T-shirt M,,12.99,69,69,0,0.0,4,2,No,,https://www.vinted.co.uk/items/9967590292-adidas-woman-running-t-shirt-m
3,9996245538,Nike Running Miler T-Shirt - All Over Print / Camo,,5.0,46,,,,,,Yes,,https://www.vinted.co.uk/items/9996245538-nike-running-miler-t-shirt-all-over-print-camo
4,10008422085,Hugo boss waffle set size small,,25.0,37,,,,,,Yes,,https://www.vinted.co.uk/items/10008422085-hugo-boss-waffle-set-size-small
5,9976643109,On running T-shirt - Size L - Grey/Black,,22.0,32,32,0,0.0,12,7,No,,https://www.vinted.co.uk/items/9976643109-on-running-t-shirt-size-l-greyblack
6,10011585536,Salomon Running Hiking Top,,20.0,29,44,-15,-34.1,5,-1,No,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
7,10010263655,Adidas Running T-Shirt – Light Blue – Men’s M,,4.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/10010263655-adidas-running-t-shirt-light-blue-mens-m
8,9984460061,Nike Trail T-Shirt – Very Good Condition,,8.0,23,23,0,0.0,20,12,No,,https://www.vinted.co.uk/items/9984460061-nike-trail-t-shirt-very-good-condition
9,9978283914,Nike Running T Shirt Medium,,5.0,22,23,-1,-4.3,18,9,No,,https://www.vinted.co.uk/items/9978283914-nike-running-t-shirt-medium
10,9745252634,Men’s Washed Dark Grey Oversized T-Shirt – Vintage Streetwear Style Size M,,12.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/9745252634-mens-washed-dark-grey-oversized-t-shirt-vintage-streetwear-style-size-m
11,9926156141,Mens nike running dri-fit t-shirt 🟥,,5.0,21,21,0,0.0,24,13,No,,https://www.vinted.co.uk/items/9926156141-mens-nike-running-dri-fit-t-shirt
12,9945075593,Adidas running  gym t-shirt mens,,7.5,21,21,0,0.0,26,14,No,,https://www.vinted.co.uk/items/9945075593-adidas-running-gym-t-shirt-mens
13,9173569387,Nike Run T Shirt,,12.0,21,23,-2,-8.7,19,6,No,,https://www.vinted.co.uk/items/9173569387-nike-run-t-shirt
14,7141245428,Looney Tunes Wile E Coyote And Road Runner Tee Shirt Mens Size Medium  Olive,,11.25,19,,,,,,Yes,,https://www.vinted.co.uk/items/7141245428-looney-tunes-wile-e-coyote-and-road-runner-tee-shirt-mens-size-medium-olive
15,9978567880,Nike Running Dri-FIT T-Shirt Men's Grey Pinstripe Geometric Print Sports Top,,18.0,19,21,-2,-9.5,25,10,No,,https://www.vinted.co.uk/items/9978567880-nike-running-dri-fit-t-shirt-mens-grey-pinstripe-geometric-print-sports-top
16,9980285209,on running graphic logo t shirt,,12.0,19,19,0,0.0,29,13,No,,https://www.vinted.co.uk/items/9980285209-on-running-graphic-logo-t-shirt
