Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,10060927841,UVU Long Sleeve Running Shirt Black (Size Small),,26.0,94,,,,,,Yes,,https://www.vinted.co.uk/items/10060927841-uvu-long-sleeve-running-shirt-black-size-small
2,9722510178,Stunning On running set,,50.0,92,84,8,9.5,1,-1,No,,https://www.vinted.co.uk/items/9722510178-stunning-on-running-set
3,9945553224,Adidas Originals Running Club T Shirt,,20.0,80,,,,,,Yes,,https://www.vinted.co.uk/items/9945553224-adidas-originals-running-club-t-shirt
4,10012263427,Satisfy running tee,,95.0,38,28,10,35.7,14,10,No,,https://www.vinted.co.uk/items/10012263427-satisfy-running-tee
5,10012369731,Satisfy running Moth tech tee,,120.0,34,35,-1,-2.9,5,0,No,,https://www.vinted.co.uk/items/10012369731-satisfy-running-moth-tech-tee
6,9879987412,2 x Nike Running t shirts,,15.0,31,,,,,,Yes,,https://www.vinted.co.uk/items/9879987412-2-x-nike-running-t-shirts
7,10061655671,Light Blue Nike Men’s Dri Fit ADV Running Division “Wolf” T Shirt,,32.0,31,16,15,93.8,45,38,No,,https://www.vinted.co.uk/items/10061655671-light-blue-nike-mens-dri-fit-adv-running-division-wolf-t-shirt
8,9940908657,: New Balance Navy Logo T-Shirt – Size S,,8.0,29,,,,,,Yes,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
9,10034416906,ASICS running t shirt men’s,,24.0,29,29,0,0.0,10,1,No,,https://www.vinted.co.uk/items/10034416906-asics-running-t-shirt-mens
10,10004183483,Nike Dri-FIT Y2K Graphic T-Shirt | Retro 00s Nike | Pink & Teal | Abstract Print | Slim Fit,,17.0,27,25,2,8.0,15,5,No,,https://www.vinted.co.uk/items/10004183483-nike-dri-fit-y2k-graphic-t-shirt-retro-00s-nike-pink-teal-abstract-print-slim-fit
11,10005667830,White and Black Nike Miller shorts set,,45.0,27,,,,,,Yes,,https://www.vinted.co.uk/items/10005667830-white-and-black-nike-miller-shorts-set
12,10025848171,Men's Adidas Climacool Short Sleeve Sports T-Shirt - White / Navy / Grey - Size Small,,8.0,27,23,4,17.4,21,9,No,,https://www.vinted.co.uk/items/10025848171-mens-adidas-climacool-short-sleeve-sports-t-shirt-white-navy-grey-size-small
13,9703502400,"Nike Running Division T-shirt with Backprint, XL.",,10.0,26,23,3,13.0,19,6,No,,https://www.vinted.co.uk/items/9703502400-nike-running-division-t-shirt-with-backprint-xl
14,10057642311,New Balance Men’s Running T,,5.0,23,18,5,27.8,34,20,No,,https://www.vinted.co.uk/items/10057642311-new-balance-mens-running-t
15,9796366311,Running Club Graphic T-Shirt,,7.0,23,22,1,4.5,27,12,No,,https://www.vinted.co.uk/items/9796366311-running-club-graphic-t-shirt
16,9591546025,Genuine vintage Adidas Star Wars Darth Vader T-Shirt - White - Size XL Run DMC Originals Trefoil,,34.99,23,21,2,9.5,29,13,No,,https://www.vinted.co.uk/items/9591546025-genuine-vintage-adidas-star-wars-darth-vader-t-shirt-white-size-xl-run-dmc-originals-trefoil
17,10069329219,On Running Men’s core T-shirt athletic fit running top,,25.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10069329219-on-running-mens-core-t-shirt-athletic-fit-running-top
18,9978283914,Nike Running T Shirt Medium,,5.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/9978283914-nike-running-t-shirt-medium
19,9757753917,North Face sprint T Shirt,,6.5,22,,,,,,Yes,,https://www.vinted.co.uk/items/9757753917-north-face-sprint-t-shirt
20,10068194674,Represent  Black Running Vest,,18.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10068194674-represent-black-running-vest
21,9506975189,Nike Miler Dri-FIT Running T-Shirt Grey Size M,,26.82,21,18,3,16.7,33,12,No,,https://www.vinted.co.uk/items/9506975189-nike-miler-dri-fit-running-t-shirt-grey-size-m
22,10060559285,Money joggers and top,,15.0,21,13,8,61.5,56,34,No,,https://www.vinted.co.uk/items/10060559285-money-joggers-and-top
23,9846927708,Puma drycell running sport T-shirt small,,3.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/9846927708-puma-drycell-running-sport-t-shirt-small
24,9991937664,Nike Running Division T-Shirt,,22.5,20,17,3,17.6,36,12,No,,https://www.vinted.co.uk/items/9991937664-nike-running-division-t-shirt
