Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9722510178,Stunning On running set,,50.0,96,92,4,4.3,2,1,No,,https://www.vinted.co.uk/items/9722510178-stunning-on-running-set
2,10076631565,ASICS black seamless ss running shirt top t breathable,,25.0,66,,,,,,Yes,,https://www.vinted.co.uk/items/10076631565-asics-black-seamless-ss-running-shirt-top-t-breathable
3,10011585536,Salomon Running Hiking Top,,20.0,66,,,,,,Yes,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
4,10012263427,Satisfy running tee,,95.0,42,38,4,10.5,4,0,No,,https://www.vinted.co.uk/items/10012263427-satisfy-running-tee
5,10046576360,blue Abercrombie & Fitch graphic t-shirt.,,6.0,37,,,,,,Yes,,https://www.vinted.co.uk/items/10046576360-blue-abercrombie-fitch-graphic-t-shirt
6,10012369731,Satisfy running Moth tech tee,,120.0,36,34,2,5.9,5,-1,No,,https://www.vinted.co.uk/items/10012369731-satisfy-running-moth-tech-tee
7,9940908657,: New Balance Navy Logo T-Shirt – Size S,,8.0,33,29,4,13.8,8,1,No,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
8,10089044091,Men’s On Running t-shirt,,23.5,32,,,,,,Yes,,https://www.vinted.co.uk/items/10089044091-mens-on-running-t-shirt
9,10069329219,On Running Men’s core T-shirt athletic fit running top,,25.0,29,22,7,31.8,17,8,No,,https://www.vinted.co.uk/items/10069329219-on-running-mens-core-t-shirt-athletic-fit-running-top
10,10005667830,White and Black Nike Miller shorts set,,45.0,28,27,1,3.7,11,1,No,,https://www.vinted.co.uk/items/10005667830-white-and-black-nike-miller-shorts-set
11,9807986323,SOAR running t shirt,,55.0,28,,,,,,Yes,,https://www.vinted.co.uk/items/9807986323-soar-running-t-shirt
12,10077091471,Men’s Nike Dri-Fit Running Top XXL - very good,,10.0,27,,,,,,Yes,,https://www.vinted.co.uk/items/10077091471-mens-nike-dri-fit-running-top-xxl-very-good
13,9703502400,"Nike Running Division T-shirt with Backprint, XL.",,10.0,25,26,-1,-3.8,13,0,No,,https://www.vinted.co.uk/items/9703502400-nike-running-division-t-shirt-with-backprint-xl
14,9506975189,Nike Miler Dri-FIT Running T-Shirt Grey Size M,,26.82,25,21,4,19.0,21,7,No,,https://www.vinted.co.uk/items/9506975189-nike-miler-dri-fit-running-t-shirt-grey-size-m
15,10057642311,New Balance Men’s Running T,,5.0,24,23,1,4.3,14,-1,No,,https://www.vinted.co.uk/items/10057642311-new-balance-mens-running-t
16,10060559285,Money joggers and top,,15.0,24,21,3,14.3,22,6,No,,https://www.vinted.co.uk/items/10060559285-money-joggers-and-top
17,9591546025,Genuine vintage Adidas Star Wars Darth Vader T-Shirt - White - Size XL Run DMC Originals Trefoil,,34.99,24,23,1,4.3,16,-1,No,,https://www.vinted.co.uk/items/9591546025-genuine-vintage-adidas-star-wars-darth-vader-t-shirt-white-size-xl-run-dmc-originals-trefoil
18,10088075780,Adidas Running t shirt,,7.5,23,,,,,,Yes,,https://www.vinted.co.uk/items/10088075780-adidas-running-t-shirt
19,9991937664,Nike Running Division T-Shirt,,22.5,23,20,3,15.0,24,5,No,,https://www.vinted.co.uk/items/9991937664-nike-running-division-t-shirt
20,9796366311,Running Club Graphic T-Shirt,,7.0,23,23,0,0.0,15,-5,No,,https://www.vinted.co.uk/items/9796366311-running-club-graphic-t-shirt
21,10067932936,Reiss Mens Taupe Beige Tapered Jogger Trousers – Waist 30”,,24.99,23,15,8,53.3,42,21,No,,https://www.vinted.co.uk/items/10067932936-reiss-mens-taupe-beige-tapered-jogger-trousers-waist-30
22,10093129274,Adidas running training gym vest tank top,,10.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10093129274-adidas-running-training-gym-vest-tank-top
23,10059942886,Men’s Nike Miler 1.0 Gym/Running T-Shirt,,6.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10059942886-mens-nike-miler-10-gymrunning-t-shirt
24,10039443722,Men’s Medium Hand-Dyed Hemp Cotton T-Shirt – Black & Earthy Brown,,4.85,22,,,,,,Yes,,https://www.vinted.co.uk/items/10039443722-mens-medium-hand-dyed-hemp-cotton-t-shirt-black-earthy-brown
25,10003012928,ASICS Men’s Large Red T Shirt RRP £39.99,,5.99,22,,,,,,Yes,,https://www.vinted.co.uk/items/10003012928-asics-mens-large-red-t-shirt-rrp-ps3999
26,9846927708,Puma drycell running sport T-shirt small,,3.0,21,20,1,5.0,23,-3,No,,https://www.vinted.co.uk/items/9846927708-puma-drycell-running-sport-t-shirt-small
27,10084460315,Nike T-Shirt,,6.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/10084460315-nike-t-shirt
28,9957634835,On Cloud Performance T-Shirt – Men’s Medium,,15.0,21,20,1,5.0,25,-3,No,,https://www.vinted.co.uk/items/9957634835-on-cloud-performance-t-shirt-mens-medium
29,9865830424,Nike white XXL Dry Fit vest running top,,12.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/9865830424-nike-white-xxl-dry-fit-vest-running-top
30,10049018641,Nike Running T-Shirt,,5.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10049018641-nike-running-t-shirt
31,10070623999,Men’s Adidas T-shirt originals running club 2XL,,13.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10070623999-mens-adidas-t-shirt-originals-running-club-2xl
32,10013810741,Nike Trail run T-shirt - medium,,5.0,19,19,0,0.0,27,-5,No,,https://www.vinted.co.uk/items/10013810741-nike-trail-run-t-shirt-medium
33,10088490209,Uniqlo Dry Ex T Shirt,,5.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/10088490209-uniqlo-dry-ex-t-shirt
34,10059327376,Nike dri-fit tech T,,6.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/10059327376-nike-dri-fit-tech-t
35,10087094849,Black Nike running division t shirt,,10.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/10087094849-black-nike-running-division-t-shirt
36,9944511262,Handmade Tie Dye T-Shirt: Unique Copper and Turquoise Design - Unisex Tee (M),,18.0,18,16,2,12.5,32,-4,No,,https://www.vinted.co.uk/items/9944511262-handmade-tie-dye-t-shirt-unique-copper-and-turquoise-design-unisex-tee-m
37,10088531479,Uniqlo Dry Ex T Shirt,,5.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/10088531479-uniqlo-dry-ex-t-shirt
38,10072489635,ON Lightweight Grey/Black Running T-shirt,,15.0,17,12,5,41.7,54,16,No,,https://www.vinted.co.uk/items/10072489635-on-lightweight-greyblack-running-t-shirt
39,10057183548,Black Graphic Print Basketball Shorts men’s Gym Training Casual Streetwear Summer Shorts,,18.99,17,,,,,,Yes,,https://www.vinted.co.uk/items/10057183548-black-graphic-print-basketball-shorts-mens-gym-training-casual-streetwear-summer-shorts
40,10089780983,Nike Running Division T-shirt Large,,12.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/10089780983-nike-running-division-t-shirt-large
41,10021844552,Navy Castore T-Shirt,,5.0,17,18,-1,-5.6,30,-11,No,,https://www.vinted.co.uk/items/10021844552-navy-castore-t-shirt
42,10061535457,Adidas Adizero Performance Running T Shirt Size Medium,,15.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10061535457-adidas-adizero-performance-running-t-shirt-size-medium
