Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9962899525,"Men’s Nike Therma-FIT Adv Running T-Shirt, Small, Charcoal",,24.0,150,141,9,6.4,1,0,No,,https://www.vinted.co.uk/items/9962899525-mens-nike-therma-fit-adv-running-t-shirt-small-charcoal
2,9837248140,Run & Fly dinosaur patterned short sleeve cotton t-shirt,,10.0,81,,,,,,Yes,,https://www.vinted.co.uk/items/9837248140-run-fly-dinosaur-patterned-short-sleeve-cotton-t-shirt
3,9945553224,Adidas Originals Running Club T Shirt,,20.0,80,,,,,,Yes,,https://www.vinted.co.uk/items/9945553224-adidas-originals-running-club-t-shirt
4,9967590292,Adidas Woman Running T-shirt M,,12.99,69,69,0,0.0,2,-2,No,,https://www.vinted.co.uk/items/9967590292-adidas-woman-running-t-shirt-m
5,9902759290,Vintage Harley Davidson Looney Tunes Wile E Coyote X The Road Runner Graphic Print T Shirt L,,34.95,53,,,,,,Yes,,https://www.vinted.co.uk/items/9902759290-vintage-harley-davidson-looney-tunes-wile-e-coyote-x-the-road-runner-graphic-print-t-shirt-l
6,9965636980,Represent running t shirt black size medium mens,,30.0,45,,,,,,Yes,,https://www.vinted.co.uk/items/9965636980-represent-running-t-shirt-black-size-medium-mens
7,9713697352,Green Day t-shirt,,5.0,42,,,,,,Yes,,https://www.vinted.co.uk/items/9713697352-green-day-t-shirt
8,9780007449,Large Size Navy Blue 'Sunday Running Club' T-Shirt with White Printed Text,,10.0,41,,,,,,Yes,,https://www.vinted.co.uk/items/9780007449-large-size-navy-blue-sunday-running-club-t-shirt-with-white-printed-text
9,9963734883,Montirex Performance T-Shirt | Grey Camo Detail | Size XS | Sport / Gym,,8.0,37,,,,,,Yes,,https://www.vinted.co.uk/items/9963734883-montirex-performance-t-shirt-grey-camo-detail-size-xs-sport-gym
10,9976643109,On running T-shirt - Size L - Grey/Black,,22.0,34,32,2,6.2,5,-5,No,,https://www.vinted.co.uk/items/9976643109-on-running-t-shirt-size-l-greyblack
11,9999269914,Black ice cream running dog shirt,,6.0,33,,,,,,Yes,,https://www.vinted.co.uk/items/9999269914-black-ice-cream-running-dog-shirt
12,10026929887,GAP Constellation Graphic T-Shirt – Size M,,5.0,27,,,,,,Yes,,https://www.vinted.co.uk/items/10026929887-gap-constellation-graphic-t-shirt-size-m
