Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9837248140,Run & Fly dinosaur patterned short sleeve cotton t-shirt,,10.0,82,,,,,,Yes,,https://www.vinted.co.uk/items/9837248140-run-fly-dinosaur-patterned-short-sleeve-cotton-t-shirt
2,9945553224,Adidas Originals Running Club T Shirt,,20.0,79,79,0,0.0,2,0,No,,https://www.vinted.co.uk/items/9945553224-adidas-originals-running-club-t-shirt
3,9976643109,On running T-shirt - Size L - Grey/Black,,22.0,58,,,,,,Yes,,https://www.vinted.co.uk/items/9976643109-on-running-t-shirt-size-l-greyblack
4,9907023249,Comme Des Garçons white tshirt,,22.0,52,41,11,26.8,5,1,No,,https://www.vinted.co.uk/items/9907023249-comme-des-garcons-white-tshirt
5,9940908657,: New Balance Navy Logo T-Shirt – Size S,,8.0,36,37,-1,-2.7,7,2,No,,https://www.vinted.co.uk/items/9940908657-new-balance-navy-logo-t-shirt-size-s
6,8539381937,RWBY Beowolf T shirt,,6.0,36,,,,,,Yes,,https://www.vinted.co.uk/items/8539381937-rwby-beowolf-t-shirt
7,10088075780,Adidas Running t shirt,,7.5,35,34,1,2.9,9,2,No,,https://www.vinted.co.uk/items/10088075780-adidas-running-t-shirt
8,9807986323,SOAR running t shirt,,49.95,31,28,3,10.7,13,5,No,,https://www.vinted.co.uk/items/9807986323-soar-running-t-shirt
9,9975035761,On Running T-shirt - Charcoal - Size L,,18.0,29,,,,,,Yes,,https://www.vinted.co.uk/items/9975035761-on-running-t-shirt-charcoal-size-l
10,9938626934,Vintage Big Dogs t shirt,,13.0,28,,,,,,Yes,,https://www.vinted.co.uk/items/9938626934-vintage-big-dogs-t-shirt
11,10103473886,DRI- Fit Nike singlet,,3.22,28,26,2,7.7,14,3,No,,https://www.vinted.co.uk/items/10103473886-dri-fit-nike-singlet
12,10125755922,ASICS Running Set,,10.0,28,,,,,,Yes,,https://www.vinted.co.uk/items/10125755922-asics-running-set
13,10120881156,On Running Activewear T-shirt - Khaki,,40.0,28,,,,,,Yes,,https://www.vinted.co.uk/items/10120881156-on-running-activewear-t-shirt-khaki
14,10077091471,Men’s Nike Dri-Fit Running Top XXL - very good,,9.0,28,28,0,0.0,12,-2,No,,https://www.vinted.co.uk/items/10077091471-mens-nike-dri-fit-running-top-xxl-very-good
15,8839463299,Black adidas shirt,,10.0,26,,,,,,Yes,,https://www.vinted.co.uk/items/8839463299-black-adidas-shirt
16,9914779017,Arcteryx Piccadilly T-Shirt,,45.0,25,,,,,,Yes,,https://www.vinted.co.uk/items/9914779017-arcteryx-piccadilly-t-shirt
17,10088531479,Uniqlo Dry Ex T Shirt,,5.0,25,24,1,4.2,16,-1,No,,https://www.vinted.co.uk/items/10088531479-uniqlo-dry-ex-t-shirt
18,9873622432,TC Threads Malfi black T-Shirt,,10.0,25,22,3,13.6,19,1,No,,https://www.vinted.co.uk/items/9873622432-tc-threads-malfi-black-t-shirt
19,10057642311,New Balance Men’s Running T,,5.0,25,,,,,,Yes,,https://www.vinted.co.uk/items/10057642311-new-balance-mens-running-t
20,9796366311,Running Club Graphic T-Shirt,,7.0,25,25,0,0.0,15,-5,No,,https://www.vinted.co.uk/items/9796366311-running-club-graphic-t-shirt
21,10088490209,Uniqlo Dry Ex T Shirt,,5.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/10088490209-uniqlo-dry-ex-t-shirt
