Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
1,9722510178,Stunning On running set,,50.0,84,,,,,,Yes,,https://www.vinted.co.uk/items/9722510178-stunning-on-running-set
2,10011585536,Salomon Running Hiking Top,,20.0,66,65,1,1.5,1,-1,No,,https://www.vinted.co.uk/items/10011585536-salomon-running-hiking-top
3,10033923845,UVU - Chicago Marathon 2025 - Large - Running T-Shirt,,22.0,50,49,1,2.0,2,-1,No,,https://www.vinted.co.uk/items/10033923845-uvu-chicago-marathon-2025-large-running-t-shirt
4,10026929887,GAP Constellation Graphic T-Shirt – Size M,,5.0,40,39,1,2.6,4,0,No,,https://www.vinted.co.uk/items/10026929887-gap-constellation-graphic-t-shirt-size-m
5,10012369731,Satisfy running Moth tech tee,,120.0,35,36,-1,-2.8,5,0,No,,https://www.vinted.co.uk/items/10012369731-satisfy-running-moth-tech-tee
6,9999269914,Black ice cream running dog shirt,,6.0,34,,,,,,Yes,,https://www.vinted.co.uk/items/9999269914-black-ice-cream-running-dog-shirt
7,10046576360,blue Abercrombie & Fitch graphic t-shirt.,,6.0,33,27,6,22.2,11,4,No,,https://www.vinted.co.uk/items/10046576360-blue-abercrombie-fitch-graphic-t-shirt
8,10058798666,Trailberg Reflective T-Shirt,,10.0,32,,,,,,Yes,,https://www.vinted.co.uk/items/10058798666-trailberg-reflective-t-shirt
9,10062042367,Men's Running Set Under Armour Threadborne HeatGear,,32.0,31,,,,,,Yes,,https://www.vinted.co.uk/items/10062042367-mens-running-set-under-armour-threadborne-heatgear
10,10034416906,ASICS running t shirt men’s,,26.0,29,27,2,7.4,10,0,No,,https://www.vinted.co.uk/items/10034416906-asics-running-t-shirt-mens
11,5185338649,"Vintage single stitch T-shirt, Reebok shirt",,18.18,29,29,0,0.0,7,-4,No,,https://www.vinted.co.uk/items/5185338649-vintage-single-stitch-t-shirt-reebok-shirt
12,10055431450,On Running Performance T Lumos Large,,50.0,28,,,,,,Yes,,https://www.vinted.co.uk/items/10055431450-on-running-performance-t-lumos-large
13,10036248189,Running On Caffeine T-shirt,,4.0,28,28,0,0.0,9,-4,No,,https://www.vinted.co.uk/items/10036248189-running-on-caffeine-t-shirt
14,10012263427,Satisfy running tee,,95.0,28,21,7,33.3,25,11,No,,https://www.vinted.co.uk/items/10012263427-satisfy-running-tee
15,10004183483,Nike Dri-FIT Y2K Graphic T-Shirt | Retro 00s Nike | Pink & Teal | Abstract Print | Slim Fit,,17.0,25,21,4,19.0,22,7,No,,https://www.vinted.co.uk/items/10004183483-nike-dri-fit-y2k-graphic-t-shirt-retro-00s-nike-pink-teal-abstract-print-slim-fit
16,9984460061,Nike Trail T-Shirt – Very Good Condition,,8.0,24,24,0,0.0,12,-4,No,,https://www.vinted.co.uk/items/9984460061-nike-trail-t-shirt-very-good-condition
17,10018284613,Funny Running Wear / Activewear T-Shirt,,9.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/10018284613-funny-running-wear-activewear-t-shirt
18,10029336461,Front Runner Viper Dept Tee,,26.92,23,18,5,27.8,28,10,No,,https://www.vinted.co.uk/items/10029336461-front-runner-viper-dept-tee
19,9703502400,"Nike Running Division T-shirt with Backprint, XL.",,10.0,23,,,,,,Yes,,https://www.vinted.co.uk/items/9703502400-nike-running-division-t-shirt-with-backprint-xl
20,10048316165,"Unbranded Navy “Sunday Running Club” Tee Shirt, Size L",,6.0,23,11,12,109.1,62,42,No,,https://www.vinted.co.uk/items/10048316165-unbranded-navy-sunday-running-club-tee-shirt-size-l
21,10025848171,Men's Adidas Climacool Short Sleeve Sports T-Shirt - White / Navy / Grey - Size Small,,8.0,23,,,,,,Yes,,https://www.vinted.co.uk/items/10025848171-mens-adidas-climacool-short-sleeve-sports-t-shirt-white-navy-grey-size-small
22,10031055297,Soar Running Marathon Vest 2.0,,90.0,23,18,5,27.8,31,9,No,,https://www.vinted.co.uk/items/10031055297-soar-running-marathon-vest-20
23,10035405178,Black Nike running vest,,5.0,23,22,1,4.5,19,-4,No,,https://www.vinted.co.uk/items/10035405178-black-nike-running-vest
24,10039443722,Men’s Medium Hand-Dyed Hemp Cotton T-Shirt – Black & Earthy Brown,,4.85,22,23,-1,-4.3,13,-11,No,,https://www.vinted.co.uk/items/10039443722-mens-medium-hand-dyed-hemp-cotton-t-shirt-black-earthy-brown
25,9972649156,On cloud training t shirt size small men’s,,16.5,22,21,1,4.8,23,-2,No,,https://www.vinted.co.uk/items/9972649156-on-cloud-training-t-shirt-size-small-mens
26,10025945141,Nike Running Division Khaki T-Shirt,,10.5,22,21,1,4.8,24,-2,No,,https://www.vinted.co.uk/items/10025945141-nike-running-division-khaki-t-shirt
27,9796366311,Running Club Graphic T-Shirt,,7.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/9796366311-running-club-graphic-t-shirt
28,10047226168,Nike Dri-FIT White Training T-Shirt Size M Black Logo Sports Gym Top,,5.0,21,16,5,31.2,41,13,No,,https://www.vinted.co.uk/items/10047226168-nike-dri-fit-white-training-t-shirt-size-m-black-logo-sports-gym-top
29,9591546025,Genuine vintage Adidas Star Wars Darth Vader T-Shirt - White - Size XL Run DMC Originals Trefoil,,34.99,21,,,,,,Yes,,https://www.vinted.co.uk/items/9591546025-genuine-vintage-adidas-star-wars-darth-vader-t-shirt-white-size-xl-run-dmc-originals-trefoil
30,9980285209,on running graphic logo t shirt,,12.0,20,19,1,5.3,27,-3,No,,https://www.vinted.co.uk/items/9980285209-on-running-graphic-logo-t-shirt
31,10036931028,Nike Dri-FIT Graphic Training T-Shirt Small Men’s,,12.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10036931028-nike-dri-fit-graphic-training-t-shirt-small-mens
32,10013810741,Nike Trail run T-shirt - medium,,5.0,19,18,1,5.6,30,-2,No,,https://www.vinted.co.uk/items/10013810741-nike-trail-run-t-shirt-medium
33,9506975189,Nike Miler Dri-FIT Running T-Shirt Grey Size M,,26.82,18,,,,,,Yes,,https://www.vinted.co.uk/items/9506975189-nike-miler-dri-fit-running-t-shirt-grey-size-m
34,10057642311,New Balance Men’s Running T,,5.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/10057642311-new-balance-mens-running-t
35,9550487829,Mens Boohoo man Beige Short Sleeve T-shirt Size Large,,3.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9550487829-mens-boohoo-man-beige-short-sleeve-t-shirt-size-large
36,9991937664,Nike Running Division T-Shirt,,22.5,17,13,4,30.8,54,18,No,,https://www.vinted.co.uk/items/9991937664-nike-running-division-t-shirt
37,10049018641,Nike Running T-Shirt,,5.0,17,14,3,21.4,47,10,No,,https://www.vinted.co.uk/items/10049018641-nike-running-t-shirt
38,9954193261,Nike Dri-FIT Running T-Shirt & Shorts Set – Neon Yellow,,15.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/9954193261-nike-dri-fit-running-t-shirt-shorts-set-neon-yellow
39,10021844552,Navy Castore T-Shirt,,5.0,17,16,1,6.2,40,1,No,,https://www.vinted.co.uk/items/10021844552-navy-castore-t-shirt
40,10020056871,Adidas orange running gym t shirt top size medium new,,12.0,17,18,-1,-5.6,29,-11,No,,https://www.vinted.co.uk/items/10020056871-adidas-orange-running-gym-t-shirt-top-size-medium-new
41,9682011604,"Tommy Hilfiger Men's Long Sleeved T-Shirt, White, Size Large",,12.5,17,17,0,0.0,34,-7,No,,https://www.vinted.co.uk/items/9682011604-tommy-hilfiger-mens-long-sleeved-t-shirt-white-size-large
42,10048598673,Asics XL long sleeve men’s 1/4 zip training running top,,8.5,17,15,2,13.3,46,4,No,,https://www.vinted.co.uk/items/10048598673-asics-xl-long-sleeve-mens-14-zip-training-running-top
43,10037383143,Nike mens t shirt london run uk L,,6.0,17,17,0,0.0,36,-7,No,,https://www.vinted.co.uk/items/10037383143-nike-mens-t-shirt-london-run-uk-l
44,2581016897,Retro H&M t shirt ,,2.5,17,,,,,,Yes,,https://www.vinted.co.uk/items/2581016897-retro-hm-t-shirt
45,10061655671,Light Blue Nike Men’s Dri Fit ADV Running Division “Wolf” T Shirt,,32.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/10061655671-light-blue-nike-mens-dri-fit-adv-running-division-wolf-t-shirt
46,9063407243,Nike Dri-Fit Baseball Tshirt,,4.0,16,,,,,,Yes,,https://www.vinted.co.uk/items/9063407243-nike-dri-fit-baseball-tshirt
47,9990910147,Nike Running Division T-Shirt,,7.5,15,12,3,25.0,60,13,No,,https://www.vinted.co.uk/items/9990910147-nike-running-division-t-shirt
48,10062115506,Montirex trail 2.0 mens t-shirt XS,,14.5,15,,,,,,Yes,,https://www.vinted.co.uk/items/10062115506-montirex-trail-20-mens-t-shirt-xs
49,9944511262,Handmade Tie Dye T-Shirt: Unique Copper and Turquoise Design - Unisex Tee (M),,18.0,14,14,0,0.0,48,-1,No,,https://www.vinted.co.uk/items/9944511262-handmade-tie-dye-t-shirt-unique-copper-and-turquoise-design-unisex-tee-m
50,6564063910,Grey Adidas Repeated Logo T-Shirt – Size S,,6.5,14,,,,,,Yes,,https://www.vinted.co.uk/items/6564063910-grey-adidas-repeated-logo-t-shirt-size-s
51,9945204548,Black Nike running shirt,,4.5,14,13,1,7.7,56,5,No,,https://www.vinted.co.uk/items/9945204548-black-nike-running-shirt
52,10032311870,Nike Jordan Black T-Shirt – New With Tags,,11.0,14,11,3,27.3,66,14,No,,https://www.vinted.co.uk/items/10032311870-nike-jordan-black-t-shirt-new-with-tags
53,10013361844,Running t-shirt,,8.0,14,14,0,0.0,51,-2,No,,https://www.vinted.co.uk/items/10013361844-running-t-shirt
54,9195499286,Alian mushroom traffic print t-shirt uk2xl nwt,,7.5,14,,,,,,Yes,,https://www.vinted.co.uk/items/9195499286-alian-mushroom-traffic-print-t-shirt-uk2xl-nwt
55,10046482917,Asics running t-shirt white large,,3.0,13,10,3,30.0,74,19,No,,https://www.vinted.co.uk/items/10046482917-asics-running-t-shirt-white-large
56,10060559285,Money joggers and top,,15.0,13,,,,,,Yes,,https://www.vinted.co.uk/items/10060559285-money-joggers-and-top
57,10059327376,Nike dri-fit tech T,,6.0,13,,,,,,Yes,,https://www.vinted.co.uk/items/10059327376-nike-dri-fit-tech-t
58,10062139542,Running gym hyrox shorts,,15.0,13,,,,,,Yes,,https://www.vinted.co.uk/items/10062139542-running-gym-hyrox-shorts
59,9624941968,Diesel Men’s Black T-Shirt,,4.0,12,,,,,,Yes,,https://www.vinted.co.uk/items/9624941968-diesel-mens-black-t-shirt
60,9937735764,Title: Nike Dri-FIT Red Short Sleeve Running / Gym Top – Men’s Large,,10.0,12,,,,,,Yes,,https://www.vinted.co.uk/items/9937735764-title-nike-dri-fit-red-short-sleeve-running-gym-top-mens-large
61,10054060511,Nike running division t shirt,,15.0,12,,,,,,Yes,,https://www.vinted.co.uk/items/10054060511-nike-running-division-t-shirt
62,10012291700,Satisfy Running moth hair tee,,110.0,12,8,4,50.0,100,38,No,,https://www.vinted.co.uk/items/10012291700-satisfy-running-moth-hair-tee
63,10057457837,Brand New Men's Montirex Vector Seamless T-Shirt,,17.0,11,,,,,,Yes,,https://www.vinted.co.uk/items/10057457837-brand-new-mens-montirex-vector-seamless-t-shirt
64,10032776131,New 2XL castore training t shirt,,17.0,11,,,,,,Yes,,https://www.vinted.co.uk/items/10032776131-new-2xl-castore-training-t-shirt
65,10057749728,Adisas mens XL navy running T shirt,,3.0,11,,,,,,Yes,,https://www.vinted.co.uk/items/10057749728-adisas-mens-xl-navy-running-t-shirt
