Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
42,9764870161,Mizuno Neo Vista men’s running shoes size 9,,29.0,26,,,,,,Yes,,https://www.vinted.co.uk/items/9764870161-mizuno-neo-vista-mens-running-shoes-size-9
43,9307095805,Golden goose running shoes,,80.0,26,,,,,,Yes,,https://www.vinted.co.uk/items/9307095805-golden-goose-running-shoes
44,10025416638,Salomon long sleeve running top,,7.0,26,,,,,,Yes,,https://www.vinted.co.uk/items/10025416638-salomon-long-sleeve-running-top
45,10010048905,Nike Vomero - 18 New shoes,,61.66,26,,,,,,Yes,,https://www.vinted.co.uk/items/10010048905-nike-vomero-18-new-shoes
46,9839777469,Nike Running Division Bone Graphic Turquoise Set. Size L,,35.0,25,,,,,,Yes,,https://www.vinted.co.uk/items/9839777469-nike-running-division-bone-graphic-turquoise-set-size-l
47,9877382785,Forest hills,,52.0,25,,,,,,Yes,,https://www.vinted.co.uk/items/9877382785-forest-hills
48,10026849811,On cloud Running shorts men’s,,20.0,25,,,,,,Yes,,https://www.vinted.co.uk/items/10026849811-on-cloud-running-shorts-mens
49,9666550406,Puma Deviate Nitro 4,,65.0,25,,,,,,Yes,,https://www.vinted.co.uk/items/9666550406-puma-deviate-nitro-4
50,10002627749,ON Running Performance Cap,,27.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/10002627749-on-running-performance-cap
51,10001660177,Nike P-6000 Winterized Anthracite Smoke Grey UK11.5 Retro Y2K Running Trainers,,49.99,24,,,,,,Yes,,https://www.vinted.co.uk/items/10001660177-nike-p-6000-winterized-anthracite-smoke-grey-uk115-retro-y2k-running-trainers
52,10004377852,Saucony Endorphin Speed 5 Men's Running Shoes size 10,,65.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/10004377852-saucony-endorphin-speed-5-mens-running-shoes-size-10
53,10027830309,Nike Repel Miler Mens Running Jacket Black Lightweight Hooded Windbreaker Medium M,,22.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/10027830309-nike-repel-miler-mens-running-jacket-black-lightweight-hooded-windbreaker-medium-m
54,10012105267,Nike Vomero Plus (UK 8),,40.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/10012105267-nike-vomero-plus-uk-8
55,9789706532,Women’s adidas aeroready running shorts size M RRP £45 new,,19.0,24,,,,,,Yes,,https://www.vinted.co.uk/items/9789706532-womens-adidas-aeroready-running-shorts-size-m-rrp-ps45-new
56,9888534923,New Balance Green Running Top & Shorts Set – Brand New,,35.0,23,,,,,,Yes,,https://www.vinted.co.uk/items/9888534923-new-balance-green-running-top-shorts-set-brand-new
57,9993421074,Hoka One One Carbon X 3 running shoes,,33.5,23,,,,,,Yes,,https://www.vinted.co.uk/items/9993421074-hoka-one-one-carbon-x-3-running-shoes
58,10009671007,"Nike zoom running trainers, UK6",,15.0,23,,,,,,Yes,,https://www.vinted.co.uk/items/10009671007-nike-zoom-running-trainers-uk6
59,9978283914,Nike Running T Shirt Medium,,5.0,23,,,,,,Yes,,https://www.vinted.co.uk/items/9978283914-nike-running-t-shirt-medium
60,10020041501,Black Nike Dri fit long sleeved running gym top size medium,,10.0,23,,,,,,Yes,,https://www.vinted.co.uk/items/10020041501-black-nike-dri-fit-long-sleeved-running-gym-top-size-medium
61,9956733836,Adidas running tshirt,,7.5,22,,,,,,Yes,,https://www.vinted.co.uk/items/9956733836-adidas-running-tshirt
62,10027744339,Nike Running Dri-FIT Set Blue T-Shirt & Black Shorts,,23.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10027744339-nike-running-dri-fit-set-blue-t-shirt-black-shorts
63,9977668114,Hoka running shoes,,45.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/9977668114-hoka-running-shoes
64,10032077687,Men’s North Face Trainers,,34.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10032077687-mens-north-face-trainers
65,10012121402,Nike running shoes,,20.0,22,,,,,,Yes,,https://www.vinted.co.uk/items/10012121402-nike-running-shoes
66,9952435931,Montirex Black Navy Running Training Trousers – Men’s Small,,13.99,21,,,,,,Yes,,https://www.vinted.co.uk/items/9952435931-montirex-black-navy-running-training-trousers-mens-small
67,9884206649,Asics Jade running set men’s large,,35.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/9884206649-asics-jade-running-set-mens-large
68,9956150314,Brooks Cascadia 16 Trail Running Shoes Mens UK 9.5 Blue Teal Orange,,33.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/9956150314-brooks-cascadia-16-trail-running-shoes-mens-uk-95-blue-teal-orange
